Easting,Northing,Elevation,Code,source,Point_ID
641859.234,4241287.632,6.811,BANKSLOPE,Nichols 2015,771_770_stk15
641859.083,4241287.889,6.667,BANKSLOPE,Nichols 2015,771_770_stk16
641858.964,4241288.021,6.453,BANKSLOPE,Nichols 2015,771_770_stk17
641858.791,4241288.229,6.473,BANKSLOPE,Nichols 2015,771_770_stk18
641858.595,4241288.368,6.152,BANKSLOPE,Nichols 2015,771_770_stk19
641858.534,4241288.518,5.462,BANKSLOPE,Nichols 2015,771_770_stk20
641858.377,4241288.648,5.247,BANKSLOPE,Nichols 2015,771_770_stk21
641858.196,4241288.795,4.966,BANKSLOPE,Nichols 2015,771_770_stk22
641858.006,4241288.985,4.871,BANKSLOPE,Nichols 2015,771_770_stk23
641857.876,4241289.137,4.681,BANKTOE,Nichols 2015,771_770_stk24
641857.826,4241289.222,4.647,BANKBED,Nichols 2015,771_770_stk25
641857.697,4241289.312,4.598,BANKBED,Nichols 2015,771_770_stk26
641857.403,4241289.665,4.515,BANKBED,Nichols 2015,771_770_stk27
641857.147,4241289.925,4.498,BANKBED,Nichols 2015,771_770_stk28
641857.112,4241290.011,4.468,BANKBED,Nichols 2015,771_770_stk29
641856.879,4241290.277,4.429,BANKBED,Nichols 2015,771_770_stk30
641856.711,4241290.443,4.431,BANKBED,Nichols 2015,771_770_stk31
641856.709,4241290.440,4.434,BANKBED,Nichols 2015,771_770_stk32
641856.558,4241290.605,4.459,BANKBED,Nichols 2015,771_770_stk33
641856.360,4241290.801,4.461,BANKBED,Nichols 2015,771_770_stk34
641856.130,4241291.029,4.475,BANKBED,Nichols 2015,771_770_stk35
641855.982,4241291.247,4.474,BANKBED,Nichols 2015,771_770_stk36
641855.790,4241291.457,4.479,BANKBED,Nichols 2015,771_770_stk37
641855.616,4241291.623,4.519,BANKBED,Nichols 2015,771_770_stk38
641855.424,4241291.809,4.554,BANKBED,Nichols 2015,771_770_stk39
641855.276,4241292.027,4.566,BANKBED,Nichols 2015,771_770_stk40
